No.,Description,Product Group Code,Inventory Posting Group,Sales (Qty.),Sales (Qty.) - Year,Quantity on Hand,Unit Price
K3-12SBC,3 inch chrome curved-top stack 12 inch long,ELBOW,PIPE,403,8,365,450.9
K3-12SBA,3 inch aluminized curved-top stack 12 inch long,CLAMP,PIPE,377,107,147,138.61
K3-12SBS3,3 inch 304 stainless curved-top stack 12 inch long,HARDWARE,PIPE,543,61,128,431.17
K3-12SBS,3 inch stainless curved-top stack 12 inch long,PROPRIETAR,PIPE,18,109,199,214.81
K3-12EXC,3 inch chrome curved-top stack 12 inch long,MUFFLER,PIPE,380,81,219,466.76
K3-12EXA,3 inch aluminized curved-top stack 12 inch long,HARDWARE,PIPE,231,25,123,399.95
K3-12EXS3,3 inch 304 stainless curved-top stack 12 inch long,ELBOW,PIPE,480,97,191,159.37
K3-12EXS,3 inch stainless curved-top stack 12 inch long,HARDWARE,PIPE,589,112,331,410.99
K3-12XBC,3 inch chrome curved-top stack 12 inch long,PIPE,PIPE,18,86,384,69.93
K3-12XBA,3 inch aluminized curved-top stack 12 inch long,CHROME,PIPE,71,58,326,288.89
K3-12XBS3,3 inch 304 stainless curved-top stack 12 inch long,HARDWARE,PIPE,1,60,207,17.49
K3-12XBS,3 inch stainless curved-top stack 12 inch long,MUFFLER,PIPE,0,76,86,158.9
K3-18SBC,3 inch chrome curved-top stack 18 inch long,CHROME,PIPE,483,119,108,153.95
K3-18SBA,3 inch aluminized curved-top stack 18 inch long,HARDWARE,PIPE,397,50,164,474.29
K3-18SBS3,3 inch 304 stainless curved-top stack 18 inch long,MUFFLER,PIPE,299,66,382,430.85
K3-18SBS,3 inch stainless curved-top stack 18 inch long,CLAMP,PIPE,269,0,294,0.0
K3-18EXC,3 inch chrome curved-top stack 18 inch long,ELBOW,PIPE,43,2,308,245.04
K3-18EXA,3 inch aluminized curved-top stack 18 inch long,CHROME,PIPE,461,27,318,455.24
K3-18EXS3,3 inch 304 stainless curved-top stack 18 inch long,MUFFLER,PIPE,539,101,195,195.79
K3-18EXS,3 inch stainless curved-top stack 18 inch long,CHROME,PIPE,6,117,125,228.93
K3-18XBC,3 inch chrome curved-top stack 18 inch long,ELBOW,PIPE,473,107,351,415.43
K3-18XBA,3 inch aluminized curved-top stack 18 inch long,HARDWARE,PIPE,561,56,232,150.94
K3-18XBS3,3 inch 304 stainless curved-top stack 18 inch long,CLAMP,PIPE,205,99,380,104.22
K3-18XBS,3 inch stainless curved-top stack 18 inch long,MUFFLER,PIPE,538,20,303,124.74
K3-24SBC,3 inch chrome curved-top stack 24 inch long,ELBOW,PIPE,0,5,391,329.69
K3-24SBA,3 inch aluminized curved-top stack 24 inch long,PIPE,PIPE,491,96,24,0.0
K3-24SBS3,3 inch 304 stainless curved-top stack 24 inch long,HARDWARE,PIPE,328,38,68,420.09
K3-24SBS,3 inch stainless curved-top stack 24 inch long,CLAMP,PIPE,596,80,113,33.97
K3-24EXC,3 inch chrome curved-top stack 24 inch long,MUFFLER,PIPE,531,40,109,395.46
K3-24EXA,3 inch aluminized curved-top stack 24 inch long,MUFFLER,PIPE,209,19,383,0.0
K3-24EXS3,3 inch 304 stainless curved-top stack 24 inch long,CHROME,PIPE,0,118,82,68.68
K3-24EXS,3 inch stainless curved-top stack 24 inch long,PIPE,PIPE,0,56,353,59.11
K3-24XBC,3 inch chrome curved-top stack 24 inch long,HARDWARE,PIPE,497,69,246,472.45
K3-24XBA,3 inch aluminized curved-top stack 24 inch long,ELBOW,PIPE,91,1,97,276.68
K3-24XBS3,3 inch 304 stainless curved-top stack 24 inch long,CLAMP,PIPE,345,0,54,161.32
K3-24XBS,3 inch stainless curved-top stack 24 inch long,CHROME,PIPE,26,109,334,143.0
K3-30SBC,3 inch chrome curved-top stack 30 inch long,ELBOW,PIPE,175,42,150,116.88
K3-30SBA,3 inch aluminized curved-top stack 30 inch long,MUFFLER,PIPE,549,92,299,46.02
K3-30SBS3,3 inch 304 stainless curved-top stack 30 inch long,HARDWARE,PIPE,432,21,229,155.73
K3-30SBS,3 inch stainless curved-top stack 30 inch long,CHROME,PIPE,0,89,298,14.71
K3-30EXC,3 inch chrome curved-top stack 30 inch long,ELBOW,PIPE,202,120,156,297.09
K3-30EXA,3 inch aluminized curved-top stack 30 inch long,HARDWARE,PIPE,322,98,199,129.91
K3-30EXS3,3 inch 304 stainless curved-top stack 30 inch long,MUFFLER,PIPE,0,8,395,311.08
K3-30EXS,3 inch stainless curved-top stack 30 inch long,HARDWARE,PIPE,122,30,381,235.12
K3-30XBC,3 inch chrome curved-top stack 30 inch long,ELBOW,PIPE,509,67,390,93.22
K3-30XBA,3 inch aluminized curved-top stack 30 inch long,ELBOW,PIPE,513,70,316,52.94
K3-30XBS3,3 inch 304 stainless curved-top stack 30 inch long,MUFFLER,PIPE,538,106,391,127.32
K3-30XBS,3 inch stainless curved-top stack 30 inch long,CLAMP,PIPE,65,14,167,138.1
K3-36SBC,3 inch chrome curved-top stack 36 inch long,MUFFLER,PIPE,388,38,36,149.84
K3-36SBA,3 inch aluminized curved-top stack 36 inch long,HARDWARE,PIPE,0,86,346,185.56
K3-36SBS3,3 inch 304 stainless curved-top stack 36 inch long,ELBOW,PIPE,26,41,1,404.83
K3-36SBS,3 inch stainless curved-top stack 36 inch long,CHROME,PIPE,109,3,325,134.54
K3-36EXC,3 inch chrome curved-top stack 36 inch long,ELBOW,PIPE,414,90,113,87.15
K3-36EXA,3 inch aluminized curved-top stack 36 inch long,ELBOW,PIPE,224,44,117,210.09
K3-36EXS3,3 inch 304 stainless curved-top stack 36 inch long,PIPE,PIPE,0,87,398,0.0
K3-36EXS,3 inch stainless curved-top stack 36 inch long,HARDWARE,PIPE,221,64,291,0.0
K3-36XBC,3 inch chrome curved-top stack 36 inch long,PROPRIETAR,PIPE,419,62,64,92.6
K3-36XBA,3 inch aluminized curved-top stack 36 inch long,PIPE,PIPE,506,62,224,76.47
K3-36XBS3,3 inch 304 stainless curved-top stack 36 inch long,MUFFLER,PIPE,0,2,208,402.12
K3-36XBS,3 inch stainless curved-top stack 36 inch long,PIPE,PIPE,29,6,382,61.96
K3-42SBC,3 inch chrome curved-top stack 42 inch long,CLAMP,PIPE,0,18,364,55.19
K3-42SBA,3 inch aluminized curved-top stack 42 inch long,PIPE,PIPE,103,75,337,0.0
K3-42SBS3,3 inch 304 stainless curved-top stack 42 inch long,CLAMP,PIPE,0,74,210,295.38
K3-42SBS,3 inch stainless curved-top stack 42 inch long,MUFFLER,PIPE,121,93,78,454.0
K3-42EXC,3 inch chrome curved-top stack 42 inch long,CLAMP,PIPE,5,80,231,113.74
K3-42EXA,3 inch aluminized curved-top stack 42 inch long,PROPRIETAR,OBSOLETE,165,35,84,52.83
K3-42EXS3,3 inch 304 stainless curved-top stack 42 inch long,BATTERY,BATTERY,65,100,245,294.13
K3-42EXS,3 inch stainless curved-top stack 42 inch long,HARDWARE,PIPE,155,10,311,0.0
K3-42XBC,3 inch chrome curved-top stack 42 inch long,ELBOW,PIPE,0,32,140,18.72
K3-42XBA,3 inch aluminized curved-top stack 42 inch long,MUFFLER,PIPE,0,36,190,99.06
K3-42XBS3,3 inch 304 stainless curved-top stack 42 inch long,MUFFLER,PIPE,0,16,162,254.22
K3-42XBS,3 inch stainless curved-top stack 42 inch long,PIPE,PIPE,396,67,162,0.0
K3-48SBC,3 inch chrome curved-top stack 48 inch long,CLAMP,PIPE,353,40,346,123.25
K3-48SBA,3 inch aluminized curved-top stack 48 inch long,CHROME,PIPE,7,118,322,446.79
K3-48SBS3,3 inch 304 stainless curved-top stack 48 inch long,CLAMP,PIPE,271,118,289,67.15
K3-48SBS,3 inch stainless curved-top stack 48 inch long,CLAMP,PIPE,210,71,306,309.38
K3-48EXC,3 inch chrome curved-top stack 48 inch long,ELBOW,PIPE,0,104,388,140.17
K3-48EXA,3 inch aluminized curved-top stack 48 inch long,MUFFLER,PIPE,53,99,16,427.26
K3-48EXS3,3 inch 304 stainless curved-top stack 48 inch long,ELBOW,PIPE,337,31,136,395.96
K3-48EXS,3 inch stainless curved-top stack 48 inch long,CLAMP,PIPE,0,20,246,0.0
K3-48XBC,3 inch chrome curved-top stack 48 inch long,CLAMP,PIPE,23,21,398,321.36
K3-48XBA,3 inch aluminized curved-top stack 48 inch long,HARDWARE,PIPE,41,94,120,294.67
K3-48XBS3,3 inch 304 stainless curved-top stack 48 inch long,CHROME,PIPE,177,44,211,0.0
K3-48XBS,3 inch stainless curved-top stack 48 inch long,CLAMP,PIPE,167,38,18,208.63
K3-54SBC,3 inch chrome curved-top stack 54 inch long,MUFFLER,PIPE,562,43,134,262.87
K3-54SBA,3 inch aluminized curved-top stack 54 inch long,CHROME,PIPE,600,95,75,253.37
K3-54SBS3,3 inch 304 stainless curved-top stack 54 inch long,MUFFLER,PIPE,79,17,336,131.28
K3-54SBS,3 inch stainless curved-top stack 54 inch long,PIPE,PIPE,0,64,269,368.26
K3-54EXC,3 inch chrome curved-top stack 54 inch long,PIPE,PIPE,385,102,234,372.65
K3-54EXA,3 inch aluminized curved-top stack 54 inch long,HARDWARE,PIPE,231,48,262,172.15
K3-54EXS3,3 inch 304 stainless curved-top stack 54 inch long,CLAMP,PIPE,256,96,332,238.34
K3-54EXS,3 inch stainless curved-top stack 54 inch long,MUFFLER,PIPE,89,23,255,317.77
K3-54XBC,3 inch chrome curved-top stack 54 inch long,ELBOW,PIPE,72,39,265,58.61
K3-54XBA,3 inch aluminized curved-top stack 54 inch long,CLAMP,PIPE,0,115,277,293.45
K3-54XBS3,3 inch 304 stainless curved-top stack 54 inch long,PROPRIETAR,OBSOLETE,0,72,16,290.31
K3-54XBS,3 inch stainless curved-top stack 54 inch long,CLAMP,PIPE,24,97,370,0.0
K3-60SBC,3 inch chrome curved-top stack 60 inch long,PIPE,PIPE,47,113,73,471.48
K3-60SBA,3 inch aluminized curved-top stack 60 inch long,CHROME,PIPE,206,83,378,106.84
K3-60SBS3,3 inch 304 stainless curved-top stack 60 inch long,CLAMP,PIPE,441,92,35,0.0
